PLAYER_NAME,PLAYER_LAST_TEAM_ABBREVIATION,GP,FG_PCT,FG2_PCT,FG3_PCT,EFG_PCT
Nikola Jokic,DEN,49,0.569,0.584,0.438,0.592
Joel Embiid,PHI,34,0.461,0.462,0.455,0.485
Julius Randle,NYK,46,0.411,0.444,0.333,0.461
Jayson Tatum,BOS,48,0.488,0.558,0.37,0.557
Franz Wagner,ORL,44,0.402,0.451,0.317,0.46
Jordan Clarkson,UTA,43,0.462,0.465,0.455,0.534
Luka Doncic,DAL,44,0.481,0.514,0.417,0.552
Desmond Bane,MEM,37,0.386,0.425,0.354,0.483
Tyrese Maxey,PHI,46,0.413,0.356,0.48,0.523
Kyle Kuzma,WAS,49,0.319,0.41,0.218,0.371
Kevin Durant,PHX,45,0.5,0.524,0.4,0.538
Alperen Sengun,HOU,50,0.526,0.557,0.125,0.531
Cam Thomas,BKN,41,0.418,0.473,0.176,0.434
Miles Bridges,CHA,39,0.424,0.456,0.357,0.482
LeBron James,LAL,46,0.48,0.541,0.308,0.52
Jalen Brunson,NYK,49,0.528,0.552,0.487,0.618
Terry Rozier,MIA,39,0.476,0.558,0.385,0.567
DeMar DeRozan,CHI,50,0.438,0.481,0.292,0.471
Paolo Banchero,ORL,52,0.383,0.438,0.222,0.411
Anthony Edwards,MIN,49,0.376,0.386,0.355,0.431
Kyrie Irving,DAL,30,0.492,0.511,0.429,0.541
Jaren Jackson Jr.,MEM,48,0.5,0.565,0.333,0.547
Paul George,LAC,47,0.447,0.429,0.474,0.543
Joel Embiid,PHI,34,0.327,0.403,0.156,0.351
Julius Randle,NYK,46,0.398,0.432,0.324,0.449
Nikola Jokic,DEN,49,0.5,0.618,0.3,0.556
Donovan Mitchell,CLE,41,0.404,0.438,0.366,0.489
Kawhi Leonard,LAC,46,0.453,0.482,0.41,0.537
Jamal Murray,DEN,37,0.329,0.302,0.364,0.408
